"","r","var","r","var"
"97",0.736337660312941,"harvardox_cortical_20.X.harvardox_cortical_21",0.737341925414418,"harvardox_cortical_7.X.harvardox_subcortical_2"
"98",0.736337660312941,"harvardox_cortical_21.X.harvardox_cortical_20",0.737341925414418,"harvardox_subcortical_2.X.harvardox_cortical_7"
"99",0.725301074590721,"harvardox_subcortical_19.X.harvardox_subcortical_9",0.735942037722196,"harvardox_subcortical_1.X.harvardox_subcortical_12"
"100",0.725301074590721,"harvardox_subcortical_9.X.harvardox_subcortical_19",0.735942037722196,"harvardox_subcortical_12.X.harvardox_subcortical_1"
"101",0.723757366228214,"harvardox_cortical_39.X.harvardox_subcortical_13",0.733053428386674,"harvardox_cortical_10.X.harvardox_cortical_12"
"102",0.723757366228214,"harvardox_subcortical_13.X.harvardox_cortical_39",0.733053428386674,"harvardox_cortical_12.X.harvardox_cortical_10"
"103",0.722905903249875,"harvardox_cortical_12.X.harvardox_cortical_10",0.732790858664785,"harvardox_cortical_32.X.harvardox_cortical_36"
"104",0.722905903249875,"harvardox_cortical_10.X.harvardox_cortical_12",0.732790858664785,"harvardox_cortical_36.X.harvardox_cortical_32"
"105",0.719176256283661,"harvardox_cortical_24.X.harvardox_cortical_40",0.728548480637424,"harvardox_cortical_13.X.harvardox_subcortical_13"
"106",0.719176256283661,"harvardox_cortical_40.X.harvardox_cortical_24",0.728548480637424,"harvardox_subcortical_13.X.harvardox_cortical_13"
"107",0.718990896703835,"harvardox_cortical_23.X.harvardox_subcortical_2",0.727838130363437,"harvardox_cortical_31.X.harvardox_subcortical_2"
"108",0.718990896703835,"harvardox_subcortical_2.X.harvardox_cortical_23",0.727838130363437,"harvardox_subcortical_2.X.harvardox_cortical_31"
"109",0.717343878626337,"harvardox_cortical_42.X.harvardox_cortical_45",0.725448364609813,"harvardox_cortical_23.X.harvardox_cortical_36"
"110",0.717343878626337,"harvardox_cortical_45.X.harvardox_cortical_42",0.725448364609813,"harvardox_cortical_36.X.harvardox_cortical_23"
"111",0.71505313279088,"harvardox_cortical_3.X.harvardox_subcortical_2",0.724481397934971,"harvardox_subcortical_10.X.harvardox_subcortical_20"
"112",0.71505313279088,"harvardox_subcortical_2.X.harvardox_cortical_3",0.724481397934971,"harvardox_subcortical_20.X.harvardox_subcortical_10"
"113",0.714322385388432,"harvardox_subcortical_13.X.harvardox_cortical_13",0.722097751994206,"harvardox_cortical_23.X.harvardox_subcortical_2"
"114",0.714322385388431,"harvardox_cortical_13.X.harvardox_subcortical_13",0.722097751994206,"harvardox_subcortical_2.X.harvardox_cortical_23"
"115",0.711010540414695,"harvardox_cortical_31.X.harvardox_subcortical_2",0.721120925119413,"harvardox_cortical_5.X.harvardox_cortical_6"
"116",0.711010540414695,"harvardox_subcortical_2.X.harvardox_cortical_31",0.721120925119413,"harvardox_cortical_6.X.harvardox_cortical_5"
"117",0.710242654518127,"harvardox_cortical_23.X.harvardox_cortical_36",0.71444226962003,"harvardox_cortical_3.X.harvardox_subcortical_2"
"118",0.710242654518127,"harvardox_cortical_36.X.harvardox_cortical_23",0.71444226962003,"harvardox_subcortical_2.X.harvardox_cortical_3"
"119",0.710084097878028,"harvardox_cortical_36.X.harvardox_cortical_48",0.714424204395824,"harvardox_cortical_2.X.harvardox_cortical_44"
"120",0.710084097878028,"harvardox_cortical_48.X.harvardox_cortical_36",0.714424204395824,"harvardox_cortical_44.X.harvardox_cortical_2"
"121",0.708738426215003,"harvardox_cortical_36.X.harvardox_subcortical_13",0.71177007556159,"harvardox_cortical_42.X.harvardox_cortical_46"
"122",0.708738426215003,"harvardox_subcortical_13.X.harvardox_cortical_36",0.71177007556159,"harvardox_cortical_46.X.harvardox_cortical_42"
"123",0.705461781575211,"harvardox_cortical_20.X.harvardox_subcortical_13",0.707053596062922,"harvardox_cortical_24.X.harvardox_cortical_48"
"124",0.705461781575211,"harvardox_subcortical_13.X.harvardox_cortical_20",0.707053596062922,"harvardox_cortical_48.X.harvardox_cortical_24"
"125",0.703502434631472,"harvardox_cortical_40.X.harvardox_subcortical_13",0.706765997810721,"harvardox_cortical_24.X.harvardox_cortical_40"
"126",0.703502434631472,"harvardox_subcortical_13.X.harvardox_cortical_40",0.706765997810721,"harvardox_cortical_40.X.harvardox_cortical_24"
"127",0.701651276528474,"harvardox_cortical_5.X.harvardox_cortical_6",0.70676470123072,"harvardox_cortical_31.X.harvardox_subcortical_13"
"128",0.701651276528474,"harvardox_cortical_6.X.harvardox_cortical_5",0.70676470123072,"harvardox_subcortical_13.X.harvardox_cortical_31"
